,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
176,item def.,Q4_a,,Common,,,"internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","internal funds like cash or cash equivalent, resulting for instance from savings, retained earnings or sale of assets","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","INTERNAL FUNDS LIKE CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALE OF ASSETS","CASH OR CASH EQUIVALENT RESULTING FOR INSTANCE FROM SAVINGS, RETAINED EARNINGS, SALES OF ASSETS",
177,item,Q4_p,,Common,,See the note to Q4_i,"Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding","Other sources of financing, for example subordinated debt instruments, participating loans, peer-to-peer lending, crowdfunding",Other sources of financing,,,,,,,,,,
178,item def.,Q4_p,,Common,,,"[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","[*READ IF NECESSARY: Subordinated debt is repayable only after other debts have been satisfied. 
*READ IF NECESSARY: A participating loan gives the lender the right to convert the loan into an ownership or equity interest in the company under specified clauses and conditions. 
*READ IF NECESSARY: Peer-to-peer lending consists of lending money to an unrelated individual or enterprise without a traditional financial intermediary, usually via dedicated online lending portals. 
*READ IF NECESSARY: Crowdfunding involves raising monetary contributions from a large number of people, typically via the internet]","FOR EXAMPLE, SUBORDINATED DEBT INSTRUMENTS, PARTICIPATING LOANS, PEER-TO-PEER LENDING, CROWDFUNDING",,,,,,,,,,
179,item,Q4_g,,Common,,"Given that leasing and factoring are prevalent sources of finance, the combined category “Leasing or hire-purchase or factoring” was split into “Leasing or hire-purchase” and “Factoring” in round 2014H1.",,,,,,,,,,,,,,,,,,,,,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring,Leasing or hire-purchase or factoring
180,item def.,Q4_g,,Common,,,,,,,,,,,,,,,,,,,,,,,"LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ","LEASING AND HIRE-PURCHASE = OBTAINING THE USE OF A FIXED ASSET (E.G. CARS OR MACHINERY) IN EXCHANGE OF REGULAR PAYMENTS, BUT WITHOUT THE IMMEDIATE OWNERSHIP OF THE ASSET. FACTORING = SELLING YOUR INVOICES TO A FACTORING COMPANY. THIS COMPANY GETS YOUR DEBT AND HAS TO COLLECT IT. IT WILL MAKE A PROFIT BY PAYING YOU LESS CASH THAN THE FACE VALUE OF THE INVOICE. ",
181,item,Q4_i,,Common,,"Given its low prevalence, the mezzanine financing that contains characteristics of both debt and equity (i.e. “Subordinated loans, participating loans, preferred shares or similar financing instruments”) is deleted as a separate category in questions Q4 and Q20 as from round 2014H1. The item “Preferred shares” is now included in the category “Equity capital”, while “Subordinated debt instruments” and “Participating loans” were moved to “Other sources of financing”. Subsequently, the item “Mezzanine financing” was removed from question Q22 and two items “Bank or other loan” and “Equity investment/mezzanine” merged into “Bank loan, a loan from other sources or equity investment”.",,,,,,,,,,,,,,,,,,,,,"Subordinated loans, participating loans, preferred stocks or similar financing instruments","Subordinated loans, participating loans, preferred stocks or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments","Subordinated loans, participation loans or similar financing instruments"
182,item def.,Q4_i,,Common,,,,,,,,,,,,,,,,,,,,,,,"ALL TYPES OF MEZZANINE FINANCING THAT CONTAIN CHARACTERISTICS OF BOTH DEBT AND EQUITY – FOR EXAMPLE, A LOAN THAT RANKS BELOW OTHER DEBTS IF A COMPANY GOES INTO LIQUIDATION OR FILES FOR BANKRUPTCY, OR A LOAN THAT GIVES THE LENDER THE RIGHT TO CONVERT THE LOAN TO AN OWNERSHIP OR EQUITY INTEREST IN THE COMPANY UNDER SPECIFIED CLAUSES AND CONDITIONS","ALL TYPES OF MEZZANINE FINANCING THAT CONTAIN CHARACTERISTICS OF BOTH DEBT AND EQUITY – FOR EXAMPLE, A LOAN THAT RANKS BELOW OTHER DEBTS IF A COMPANY GOES INTO LIQUIDATION OR FILES FOR BANKRUPTCY, OR A LOAN THAT GIVES THE LENDER THE RIGHT TO CONVERT THE LOAN TO AN OWNERSHIP OR EQUITY INTEREST IN THE COMPANY UNDER SPECIFIED CLAUSES AND CONDITIONS",,,,,,,,
183,item,Q4_k,,Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other
184,item,Q4_l,,Common,,,,,,,,,,,,,,,,,,,,,,,"[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]","[DID NOT USE EXTERNAL FINANCING]
[IF NONE OF THE FINANCING SOURCES IS SELECTED AS USED, PLEASE CONFIRM BY ASKING: “BASED ON THE REPLY TO THIS QUESTION, CAN YOU CONFIRM THAT YOUR FIRM HAS NOT USED ANY SOURCE OF FINANCING IN THE PAST 6 MONTHS, NEITHER INTERNAL NOR EXTERNAL?” AND RE-CODE THE CATEGORY WHERE APPROPRIATE.]",[ADDITIONAL FINANCING NOT RELEVANT]
185,question,Q32,,Common,,,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the main reason for this?,Q32. You mentioned that bank loans are not relevant for your enterprise. What is the most important reason for this?,,,,,,,,,,
186,answer,Q32,1,Common,,,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,- Insufficient collateral or guarantee,,,,,,,,,,
187,answer,Q32,2,Common,,,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,- Interest rates or price too high,,,,,,,,,,
188,answer,Q32,3,Common,,,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,- Reduced control over the enterprise,,,,,,,,,,
189,answer,Q32,6,Common,,,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,- Too much paperwork is involved,,,,,,,,,,
190,answer,Q32,4,Common,,,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,- No bank loans are available,,,,,,,,,,
